tid,court_type,court,date,numcitedby,numcites,topical,issues,matched_queries,title,headline
1648125,SC,Supreme Court of India,1975-01-21,222,53,True,appeal-127,sc_127,"Anant Mills Co. Ltd vs State Of Gujarat & Ors on 21 January, 1975","<b>appeals</b> and writ petitions  relates to  assessment to property x of large premises like  textile mills,	and  factories.	  One  writ  petition  dates  to  an <b>electricity</b> ... <b>appeals</b"
1983009,SC,Supreme Court of India,1999-10-07,210,100,False,126v135,sc_core,"Thyssen Stahlunion Gmbh Etc vs Steel Authority Of India Ltd on 7 October, 1999","Thyssen Stahlunion Gmbh Etc vs Steel Authority Of India Ltd on 7 October, 1999    Equivalent"
451539,SC,Supreme Court of India,2005-11-09,198,22,False,jurisdiction-145-154,sc_145_154,"Gurpreet Singh vs State Of Punjab on 9 November, 2005","names were disclosed.   In this connection, reference has been made to   <b>Section</b> <b>154</b>  of the Code of Criminal Procedure (for short &#x27;the Code ... <b>section</b> 157 , Criminal  Proce"
617249,SC,Supreme Court of India,2003-07-28,195,43,False,jurisdiction-145-154,sc_145_154,"Krishna Mohan Pvt. Ltd vs Municipal Corporation Of Delhi And Ors on 28 July, 2003","building computation of rateable value in accordance with sub- <b>section</b> (2) of  <b>Section</b> <b>154</b>  of the BMC Act. It was contended specifically ... made by statute, examples being sub-<"
118375,SC,Supreme Court of India,1985-04-25,176,7,False,jurisdiction-145-154,sc_145_154,"Bhagwat Singh vs Commissioner Of Police And Anr on 25 April, 1985","clearly  recognised	 by  the  provisions contained in  sub-<b>section</b> (2) of  <b>section</b> <b>154</b> , subsection (2) of  <b>section</b>  157  and  sub-<b>section</b> ... under	  <b>Section</b>"
39425468,SC,Supreme Court of India,2013-01-09,168,54,False,mensrea-135,sc_theft,"Udai Shankar Awasthi vs State Of U.P.& Anr on 9 January, 2013","Udai Shankar Awasthi vs State Of U.P.&amp; Anr on 9 January, 2013    Author"
68296433,SC,Supreme Court of India,2020-05-19,165,66,False,jurisdiction-145-154,sc_145_154,"Arnab Ranjan Goswami vs Union Of India on 19 May, 2020",<b>154</b>  and cognate provisions of the  CrPC  including  <b>Section</b> 173  and observed:                      “20…under the scheme of the provisions of  <b>Sections</b> <b>154</b> ... final repor
1414476,SC,Supreme Court of India,2006-08-24,164,45,False,mensrea-135,sc_theft,"Jai Narain Parasurampuria (Dead) & Ors vs Pushpa Devi Saraf & Ors on 24 August, 2006",Jai Narain Parasurampuria (Dead) &amp; Ors vs Pushpa Devi Saraf &amp; Ors on 24 August
15799208,SC,Supreme Court of India,2022-12-15,160,93,False,jurisdiction-145-154,sc_145_154,"Neeraj Dutta vs State(Govt.Of N.C.T.Of Delhi) on 15 December, 2022","Neeraj Dutta vs State(Govt.Of N.C.T.Of Delhi) on 15 December, 2022"
82476980,SC,Supreme Court of India,2014-05-06,148,92,False,mensrea-135,sc_theft,"Subrata Roy Sahara vs Uoi & Ors on 6 May, 2014","Subrata Roy Sahara vs Uoi &amp; Ors on 6 May, 2014    Equivalent citations: AIR 2014"
79255696,SC,Supreme Court of India,2012-04-23,147,67,False,126v135,sc_core,"Sangeetaben Mahendrabhai Patel vs State Of Gujarat & Anr on 23 April, 2012","Sangeetaben Mahendrabhai Patel vs State Of Gujarat &amp; Anr on 23 April, 2012    Equivalent citations"
53127,SC,Supreme Court of India,2003-08-27,146,36,False,126v135,sc_core,"Balram Kumawat vs Union Of India & Ors. on 27 August, 2003","Balram Kumawat vs Union Of India &amp; Ors. on 27 August, 2003    Equivalent citations: AIR"
793136,SC,Supreme Court of India,2009-10-08,146,65,False,jurisdiction-145-154,sc_145_154,"Pandurang Chandrakant Mhatre & Ors vs State Of Maharashtra on 8 October, 2009","<b>154</b>  and other relevant provisions, this Court said:           &quot;18. An information given under sub-<b>section</b> (1) of  <b>Section</b>        <b>154</b> ... <b>Section</b> 173 Cr.P.C.   "
53449667,SC,Supreme Court of India,1993-08-12,144,119,False,appeal-127,sc_127,"Gauri Shankar Gaur And Others, Etc. vs State Of U.P. And Others on 12 August, 1993","Gauri Shankar Gaur And Others, Etc. vs State Of U.P. And Others on 12"
277469,SC,Supreme Court of India,2010-04-01,143,69,False,jurisdiction-145-154,sc_145_154,"Oswal Fats And Oils Ltd vs Addl.Commnr.,Bareilly Division & Ors on 1 April, 2010","ambit of the exceptions carved out in sub-<b>section</b> (2) of <b>Section</b>    <b>154</b>. The learned Single Judge rejected the appellant&#x27;s plea ... <b>154</b>(1) , the Court may direct the S"
51741,SC,Supreme Court of India,1975-10-10,138,16,False,appeal-127,sc_127,"Hind Overseas Private Limited vs Raghunath Prasad Jhunjhunwalla And Anr on 10 October, 1975","Hind Overseas Private Limited vs Raghunath Prasad Jhunjhunwalla And Anr on 10 October, 1975    Equivalent"
920363,SC,Supreme Court of India,2007-01-17,133,83,True,126v135,sc_core,"Ghaziabad Zila Sahkari Bank Ltd vs Addl. Labour Commissioner & Ors on 17 January, 2007","State <b>Electricity</b> Board v. Shiv Mohan Singh &amp; Anr. 		(2004) 8 SCC 402 (paras 56,87-91)  The question of  <b>Section</b> <b>135</b>  	In view ... various Labour Laws including  U.P.I.D. Act "
1365000,SC,Supreme Court of India,2009-05-06,131,81,False,appeal-127,sc_127,"Commr.Of Income Tax,Simla vs M/S Green World Corporation on 6 May, 2009","Commr.Of Income Tax,Simla vs M/S Green World Corporation on 6 May, 2009"
408260,SC,Supreme Court of India,1974-03-20,131,33,False,jurisdiction-145-154,sc_145_154,"Municipal Corporation Of Greater ... vs M/S Polychem Ltd on 20 March, 1974","which   tenements 	      determined as provided in sub-   692   	      <b>section</b> (1) of <b>Section</b> <b>154</b>, does not exceeding 	      Rs.12  hundered  or such lower ... lands&quot;  are  m"
54814974,SC,Supreme Court of India,2019-03-05,128,28,False,126v135,sc_core,"Ankush Maruti Shinde . vs State Of Maharashtra on 5 March, 2019","Ankush Maruti Shinde . vs State Of Maharashtra on 5 March, 2019    Equivalent citations: AIR 2019"
63865477,SC,Supreme Court of India,2012-12-07,122,57,False,126v135,sc_core,"Ritesh Sinha vs State Of U.P.& Anr on 7 December, 2012","Ritesh Sinha vs State Of U.P.&amp; Anr on 7 December, 2012    Equivalent citations"
1689792,SC,Supreme Court of India,1962-10-22,117,8,False,mensrea-135,sc_theft,"Pyare Lal Bhargava vs State Of Rajasthan on 22 October, 1962","Pyare Lal Bhargava vs State Of Rajasthan on 22 October, 1962    Equivalent citations: 1963 AIR"
1294331,SC,Supreme Court of India,2009-11-19,116,17,False,jurisdiction-145-154,sc_145_154,"M/S Mepco Industries Ltd.Madurai vs Commr.Of Income Tax & Anr on 19 November, 2009",finds a clear dichotomy between  <b>Section</b> <b>154</b>  and  <b>Section</b> 147  of the Act.                     <b>Section</b> <b>154</b>  deals with    rectification        of    mistake.       
1952933,SC,Supreme Court of India,2009-02-06,109,37,False,126v135,sc_core,"Godrej And Boyce Manufacturing Co. Ltd vs State Of Maharashtra And Ors on 6 February, 2009","petitioners it is argued that apart from  <b>section</b> 2(9A)  and clause (b)  of <b>section</b> <b>126</b> (1), there is no other provision ... plot  of land recourse to clause (b) of sub <b>section"
194090444,SC,Supreme Court of India,2019-10-04,107,127,False,126v135,sc_core,"Nusli Neville Wadia vs Ivory Properties on 4 October, 2019","Nusli Neville Wadia vs Ivory Properties on 4 October, 2019    Equivalent citations: AIR 2019 SUPREME"
464821,SC,Supreme Court of India,2007-08-14,92,39,True,126v135|appeal-127,sc_127|sc_core,"Maharashtra <b>Electricity</b> Regulatory ... vs Reliance Energy Ltd. & Ors on 14 August, 2007","Commission shall be guided by the  National <b>Electricity</b> Policy, National <b>Electricity</b> Plan and Tariff Policy published under   <b>Section</b> 3 .    11.	We are not going ... under  <b>Sec"
123927426,SC,Supreme Court of India,2021-09-24,89,22,True,126v135,sc_core,"M/S. Magadh Sugar And Energy Ltd. vs The State Of Bihar on 24 September, 2021",<b>126</b> (1)  of the <b>Electricity</b> Act 2003  and a demand for payment of <b>electricity</b> charges was raised. The assessee  contended that <b>Section</b> <b>126</b>
1367950,SC,Supreme Court of India,1996-12-19,89,96,False,jurisdiction-145-154,sc_145_154,"New Delhi Municipal Committee vs State Of Punjab Etc. Etc on 19 December, 1996","<b>Sections</b> <b>154</b> &amp; 155 of the 1935 Act.   ------------------------------------------------------------ GOVERNMENT OF INDIA ACT, 1935	      CONSTITUTION 				      OF INDIA   -------------"
622851,SC,Supreme Court of India,1997-05-27,84,7,False,jurisdiction-145-154,sc_145_154,"Smt. Shanti Devi vs State Of U.P. & Ors on 27 May, 1997",whereas no such words  were used  in <b>Section</b>  <b>154</b> or  <b>section</b>  163	 and <b>section</b> 163  permitted the  Gaon Sabha to acquire ... confirmation  order passed under  <b>section</
154139001,SC,Supreme Court of India,2020-08-31,83,87,False,jurisdiction-145-154,sc_145_154,"Mukesh Singh vs State (Narcotic Branch Of Delhi) on 31 August, 2020",officer under  <b>Section</b> 42  has no power of investigation;  3.6   That  <b>Section</b> 52(3)  requires an officer under  <b>Section</b> 42  to handover ... Government may prescribe in this behal
603957,SC,Supreme Court of India,1973-12-21,77,35,False,126v135,sc_core,"Gwalior Rayon Silk Mfg. (Wvg.) Co. Ltd vs The Asstt. Commissioner Of Sales Tax & ... on 21 December, 1973",Gwalior Rayon Silk Mfg. (Wvg.) Co. Ltd vs The Asstt. Commissioner Of Sales Tax &amp;
31107798,SC,Supreme Court of India,2016-07-05,68,48,False,mensrea-135,sc_theft,"Surinderjit Singh Mand & Anr vs State Of Punjab & Anr on 5 July, 2016","Surinderjit Singh Mand &amp; Anr vs State Of Punjab &amp; Anr on 5 July, 2016"
50919315,SC,Supreme Court of India,1996-12-19,65,136,False,jurisdiction-145-154,sc_145_154,"New Delhi Municipal Corporation Etc vs State Of Punjab Etc.Etc on 19 December, 1996","<b>Sections</b> <b>154</b> &amp; 155 of the 1935 Act.   ------------------------------------------------------------ GOVERNMENT OF INDIA ACT, 1935	      CONSTITUTION 				      OF INDIA   -------------"
1106580,SC,Supreme Court of India,1972-09-28,64,18,False,126v135,sc_core,"Union Of India vs Sri Sarada Mills Ltd on 28 September, 1972","Union Of India vs Sri Sarada Mills Ltd on 28 September, 1972    Equivalent citations: 1973"
165352093,SC,Supreme Court of India,2014-04-22,64,39,False,appeal-127,sc_127,"S.Rajaseekaran vs Union Of India & Ors on 22 April, 2014","S.Rajaseekaran vs Union Of India &amp; Ors on 22 April, 2014    Equivalent citations: 2014"
296937,SC,Supreme Court of India,1987-01-30,64,18,False,assessment-126,sc_assess,"Union Of India & Anr vs Wing Commander R.R. Hingorani (Retd.) on 30 January, 1987",Union Of India &amp; Anr vs Wing Commander R.R. Hingorani (Retd.) on 30 January
558150,SC,Supreme Court of India,2005-12-15,62,43,False,126v135|appeal-127,sc_127|sc_core,"M/S Transmission Corporation Of A.P. ... vs M/S Lanco Kondapalli Power Pvt. Ltd on 15 December, 2005","Arbitration and Conciliation Act, 1996   (26 of 1996)&quot;       	Sub-<b>section</b> (2) of  <b>Section</b> 94  of the Act empowers the State  Commission ... which an assessing  officer referred to i"
590653,SC,Supreme Court of India,1983-05-06,61,48,False,assessment-126,sc_assess,"Shiv Dutt Rai Fateh Chand Etc. Etc vs Union Of India & Anr. Etc on 6 May, 1983",Shiv Dutt Rai Fateh Chand Etc. Etc vs Union Of India &amp; Anr. Etc on
1352077,SC,Supreme Court of India,2003-01-17,58,8,False,126v135,sc_core,"Maliyakkal Abdul Azeez vs Assistant Collector Kerala And Anr on 17 January, 2003","against the period of sentence imposed on conviction under  <b>Section</b> <b>135</b>(1)  of the Customs Act, 1962 (in short &#x27;the  Customs ... noted above, he was found guilty of offence punishab"
1096367,SC,Supreme Court of India,2011-01-18,58,113,False,126v135|appeal-127,sc_127|sc_core,"Offshore Holdings P.Ltd vs Bangalore Devt,Authority & Ors on 18 January, 2011","Offshore Holdings P.Ltd vs Bangalore Devt,Authority &amp; Ors on 18 January, 2011    Equivalent"
128204520,SC,Supreme Court of India,2012-12-13,58,50,False,jurisdiction-145-154,sc_145_154,"Yanab Sheikh @ Gagu vs State Of West Bengal on 13 December, 2012","immediately start his investigation in accordance  with  the  provisions  of  <b>Section</b> <b>154</b> , Chapter XII of the Code.  In fact, it was  only  upon  reaching ... Court explained that an  i"
696885,SC,Supreme Court of India,2005-09-19,57,39,False,jurisdiction-145-154,sc_145_154,"R.C. Tobacco Pvt. Ltd. & Anr. Etc vs Union Of India & Ors on 19 September, 2005",<b>section</b> (1) had not been amended  retrospectively by that sub-<b>section</b>.      The Ninth Schedule referred to in  <b>Section</b> <b>154</b>(1)  insofar ... withdrawn by  <b>Section</b> <b>1
573550,SC,Supreme Court of India,1994-09-14,54,7,False,126v135,sc_core,"State Trading Corpn.Of India Ltd vs Jainsons Clothing Corpn on 14 September, 1994","State Trading Corpn.Of India Ltd vs Jainsons Clothing Corpn on 14 September, 1994    Equivalent"
1752395,SC,Supreme Court of India,1993-08-12,53,116,False,appeal-127,sc_127,"Gauri Shankar vs State Of U.P on 12 August, 1993","Gauri Shankar vs State Of U.P on 12 August, 1993    Equivalent citations: 1994 AIR"
90703,SC,Supreme Court of India,2003-02-04,53,32,False,assessment-126,sc_assess,"State Of Uttar Pradesh And Anr. Etc vs Union Of India And Anr. Etc. Etc on 4 February, 2003",State Of Uttar Pradesh And Anr. Etc vs Union Of India And Anr. Etc. Etc
56283938,SC,Supreme Court of India,2018-09-25,50,30,False,126v135,sc_core,"Ashwini Kumar Upadhyay vs Union Of India on 25 September, 2018","Ashwini Kumar Upadhyay vs Union Of India on 25 September, 2018    Equivalent citations: AIR 2018"
117323641,SC,Supreme Court of India,2012-02-27,49,60,False,jurisdiction-145-154,sc_145_154,"Lalita Kumari vs Govt.Of U.P.& Ors on 27 February, 2012",Magistrate   under   sub-       <b>section</b>   (2)   of   <b>Section</b>   173   of   the   Code.        Chapter   XII   of   the   Code   comprising      <b>Sections</b>   <b>154</b>   to   176   r
15267,SC,Supreme Court of India,1996-04-18,49,7,True,assessment-126,sc_assess,"M.P. <b>Electricity</b> Board, Jabalpur & Ors vs Harsh Wood Products & Anr on 18 April, 1996","<b>use</b> of <b>electrical</b> energy including   authorised	  alternations	 to   installations, <b>unauthorised</b> extension and <b>use</b> of devices to commit theft of <b>electrical</b> energy,  "
837232,SC,Supreme Court of India,1984-10-29,44,40,False,appeal-127,sc_127,"Surinder Singh vs Hardial Singh And Ors on 29 October, 1984","Surinder Singh vs Hardial Singh And Ors on 29 October, 1984    Equivalent citations: 1985 AIR"
1245097,SC,Supreme Court of India,2010-04-15,41,64,True,126v135|appeal-127,sc_127|sc_core,"Chhatisgarh State <b>Electricity</b> Board vs Central <b>Electricity</b> Regul.Comm. & Ors on 15 April, 2010","final order passed under  <b>Section</b> <b>126</b> . Part  XIV contains provisions to deal with theft of <b>electricity</b>, <b>electric</b> lines and  materials, interference with meters ... which a"
206287,SC,Supreme Court of India,2002-02-13,39,46,False,appeal-127,sc_127,"India Automobiles (1960) Ltd vs Calcutta Municipal Corporation & Anr on 13 February, 2002","India Automobiles (1960) Ltd vs Calcutta Municipal Corporation &amp; Anr on 13 February, 2002    Equivalent"
1174083,SC,Supreme Court of India,1975-08-29,38,15,False,126v135,sc_core,"Balumal Jamnadas Batra vs State Of Maharashtra on 29 August, 1975",complaint alleging that the  appellant	 had  committed	 offences  punishable  under  <b>Section</b> <b>135</b>(a)  and (b) of the  Customs Act . The appellant had denied being ... customs duty to the 
15649901,SC,Supreme Court of India,2013-01-09,38,43,False,jurisdiction-145-154,sc_145_154,"State Rep.By Insepctor Of ... vs N.S. Gnaneswaran on 9 January, 2013","under  <b>Section</b> 482  of  Cr.P.C.  to quash the FIR proceedings is that sub-<b>section</b> (2) of   <b>Section</b>  <b>154</b> ... provisions of   <b>Section</b>  <b>154</b>   Cr.P.C.,  we reach "
159622873,SC,Supreme Court of India,2015-05-14,37,33,False,jurisdiction-145-154,sc_145_154,"M/S Dharampal Satyapal Ltd vs Dy.Commr.Of Cen.Exc.& Ors on 14 May, 2015","appeals, certain  subsequent  events  took place.  It so happened that vide   <b>Section</b>  <b>154</b>   of  the  Finance  Act,  2003 (hereinafter referred ... withdraw  the benefit given under the "
1557946,SC,Supreme Court of India,2007-10-09,35,8,True,126v135,sc_core,"Accounts Officer, Jharkhand State ... vs Anwar Ali on 9 October, 2007","insurance, transport, processing,  supply of <b>electrical</b> energy, entertainment etc. Therefore,  supply of <b>electric</b> energy by the Nigam falls under  <b>Section</b> ... civil court to enter"
277738,SC,Supreme Court of India,1978-05-04,35,16,True,126v135,sc_core,"Mangalore <b>Electric</b> Supply Co. Ltd vs The Commissioner Of Income Tax, West ... on 4 May, 1978","Mangalore <b>Electric</b> Supply Co. Ltd vs The Commissioner Of Income Tax, West ... on 4 May"
31616013,SC,Supreme Court of India,2014-01-29,31,40,True,126v135,sc_core,"Vishal Agrawal & Anr vs Chattisgarh State <b>Electricity</b> Board ... on 29 January, 2014",punishable  under                   <b>Sections</b> <b>135</b>  to  140  or  <b>Sections</b> 150  shall be cognizable and                  non-bailable.”         8.     As per unamended <b>Section</b>
542536,SC,Supreme Court of India,2006-04-28,31,10,True,126v135,sc_core,"Haryana State <b>Electricity</b> Board vs Mam Chand on 28 April, 2006","current resulting in  theft of <b>electricity</b> under  <b>section</b> <b>126</b>  and  <b>section</b> <b>135</b>  of the <b>Electricity</b>  Act, 2003 could be decided in a summarily ... insurance, "
36079,SC,Supreme Court of India,1997-03-27,30,11,False,126v135,sc_core,"Rajeev Mankotia vs The Secretary To The President Of India & ... on 27 March, 1997","Rajeev Mankotia vs The Secretary To The President Of India &amp; ... on 27 March, 1997"
742747,SC,Supreme Court of India,2003-09-26,29,18,False,126v135,sc_core,"5 M & T Consultants, Secunderabad vs S.Y. Nawab And Anr on 26 September, 2003","5 M &amp; T Consultants, Secunderabad vs S.Y. Nawab And Anr on 26 September"
81195907,SC,Supreme Court of India,2022-09-07,29,11,False,mensrea-135,sc_theft,"Shiv Kumar vs The State Of Madhya Pradesh on 7 September, 2022","Shiv Kumar vs The State Of Madhya Pradesh on 7 September, 2022    Author:  Hrishikesh Roy"
129198577,SC,Supreme Court of India,2022-07-12,26,11,True,126v135,sc_core,"Asian Hotels (North) Ltd. vs Alok Kumar Lodha on 12 July, 2022","submitted that as per  <b>Section</b> <b>126</b>  of the Companies Act,       1956 and  <b>Section</b> 80  of the 2013 Act, the respondents       are deemed ... Alloy Foundry Co. Ltd      vs. T.N. <b>"
95828096,SC,Supreme Court of India,2019-08-21,21,17,True,126v135|assessment-126|jurisdiction-145-154|mensrea-135,sc_145_154|sc_assess|sc_core|sc_theft,"West Bengal State <b>Electricity</b> ... vs M/S Orion Metal Pvt. Ltd. on 21 August, 2019",<b>Section</b> <b>135</b>  of the Act under Part IX.  <b>Section</b> <b>135</b>  of              the Act reads as under:                                     “ <b>Section</b> <b>135</b> . Theft of <b>E
1815085,SC,Supreme Court of India,2008-11-07,21,8,False,126v135,sc_core,"M/S.Krishna Food & Baking Industry ... vs M/S. New India Assurance Co. Ltd. & Anr on 7 November, 2008",M/S.Krishna Food &amp; Baking Industry ... vs M/S. New India Assurance Co. Ltd
1397533,SC,Supreme Court of India,1971-07-21,20,5,True,126v135,sc_core,"Gian Mahtani And Anr. vs The State Of Maharashtra And Anr. on 21 July, 1971",liable to be confiscated Under  <b>Section</b> 111  of the Customs Act 1962 and thus offences Under  <b>Section</b> <b>135</b>  of that Act had been ... latter all that they had done was that they had
160269658,SC,Supreme Court of India,2023-05-19,20,160,True,126v135|assessment-126,sc_assess|sc_core,"K.C. Ninan vs Kerala State <b>Electricity</b> Board & Ors. on 19 May, 2023","<b>electricity</b> in respect of the supply of <b>electricity</b>. Under  <b>Section</b> 56  the duty of  effecting the payment of charges for <b>electricity</b> ... Further,  <b>Section</b> 56(2)  sp"
46239786,SC,Supreme Court of India,2015-03-20,20,26,False,assessment-126,sc_assess,"Anirudh Kumar vs Municipal Corp. Of Delhi & Ors on 20 March, 2015","Anirudh Kumar vs Municipal Corp. Of Delhi &amp; Ors on 20 March, 2015    Equivalent citations"
